0.96,-0.07,-0.04,-0.27,0.14,-0.12,0.99
0.96,-0.07,-0.04,-0.27,0.13,-0.1,1.0
0.96,-0.07,-0.04,-0.27,0.13,-0.08,1.01
0.96,-0.07,-0.04,-0.27,0.12,-0.07,1.01
0.96,-0.07,-0.04,-0.27,0.11,-0.06,1.01
0.96,-0.07,-0.04,-0.27,0.1,-0.07,1.0
0.96,-0.07,-0.04,-0.27,0.1,-0.07,1.01
0.96,-0.07,-0.04,-0.27,0.09,-0.07,1.02
0.96,-0.07,-0.04,-0.27,0.09,-0.06,1.03
0.96,-0.06,-0.04,-0.28,0.09,-0.05,1.03
0.96,-0.06,-0.04,-0.28,0.09,-0.04,1.02
0.96,-0.06,-0.04,-0.28,0.09,-0.04,1.01
0.96,-0.06,-0.04,-0.28,0.09,-0.03,1.0
0.96,-0.06,-0.04,-0.28,0.09,-0.03,0.99
0.96,-0.06,-0.04,-0.28,0.08,-0.04,0.99
0.96,-0.06,-0.04,-0.28,0.08,-0.04,0.99
0.96,-0.06,-0.04,-0.28,0.08,-0.04,1.0
0.96,-0.06,-0.04,-0.28,0.08,-0.04,1.01
0.96,-0.06,-0.04,-0.28,0.08,-0.04,1.01
0.96,-0.05,-0.04,-0.28,0.08,-0.04,1.02
0.96,-0.05,-0.04,-0.28,0.08,-0.04,1.01
0.96,-0.05,-0.05,-0.28,0.08,-0.04,1.0
0.96,-0.05,-0.05,-0.28,0.08,-0.04,0.99
0.96,-0.05,-0.05,-0.28,0.09,-0.04,0.98
0.96,-0.05,-0.05,-0.28,0.09,-0.04,0.98
0.96,-0.05,-0.05,-0.28,0.09,-0.04,0.98
0.96,-0.04,-0.05,-0.28,0.09,-0.04,0.99
0.96,-0.04,-0.05,-0.28,0.09,-0.04,1.0
0.96,-0.04,-0.05,-0.28,0.09,-0.04,1.0
0.96,-0.04,-0.05,-0.29,0.09,-0.04,1.0
0.96,-0.04,-0.05,-0.29,0.09,-0.04,1.0
0.96,-0.04,-0.05,-0.29,0.1,-0.04,0.99
0.96,-0.04,-0.05,-0.29,0.1,-0.03,0.99
0.96,-0.03,-0.05,-0.29,0.1,-0.02,0.98
0.96,-0.03,-0.05,-0.29,0.1,-0.01,0.97
0.96,-0.03,-0.05,-0.29,0.1,-0.01,0.96
0.96,-0.03,-0.05,-0.29,0.1,-0.01,0.96
0.96,-0.03,-0.05,-0.29,0.11,-0.0,0.96
0.96,-0.03,-0.05,-0.29,0.11,-0.0,0.97
0.96,-0.03,-0.05,-0.29,0.12,0.01,0.97
0.96,-0.03,-0.05,-0.29,0.12,0.01,0.97
0.96,-0.03,-0.05,-0.29,0.13,0.02,0.98
0.96,-0.03,-0.05,-0.29,0.13,0.03,0.99
0.96,-0.03,-0.05,-0.29,0.13,0.03,1.0
0.96,-0.03,-0.05,-0.29,0.13,0.03,1.01
0.96,-0.03,-0.05,-0.29,0.13,0.03,1.01
0.96,-0.03,-0.05,-0.29,0.13,0.03,1.02
0.96,-0.03,-0.05,-0.29,0.13,0.03,1.02
0.96,-0.03,-0.05,-0.29,0.13,0.03,1.01
0.96,-0.03,-0.05,-0.29,0.14,0.03,1.0
0.96,-0.03,-0.05,-0.29,0.14,0.03,0.99
0.96,-0.03,-0.05,-0.28,0.14,0.04,0.98
0.96,-0.03,-0.05,-0.28,0.14,0.03,0.98
0.96,-0.03,-0.05,-0.28,0.15,0.03,0.99
0.96,-0.03,-0.05,-0.28,0.16,0.03,0.99
0.96,-0.03,-0.05,-0.28,0.16,0.03,0.99
0.96,-0.03,-0.05,-0.28,0.16,0.02,1.0
0.96,-0.03,-0.05,-0.28,0.16,0.02,1.0
0.96,-0.02,-0.05,-0.28,0.16,0.03,1.0
0.96,-0.02,-0.05,-0.28,0.17,0.03,1.01
0.96,-0.02,-0.05,-0.28,0.17,0.02,1.01
0.96,-0.02,-0.05,-0.28,0.19,0.01,1.02
0.96,-0.02,-0.05,-0.28,0.2,0.01,1.02
0.96,-0.02,-0.05,-0.28,0.22,0.01,1.03
0.96,-0.02,-0.05,-0.28,0.23,0.01,1.03
0.96,-0.02,-0.05,-0.28,0.24,0.02,1.04
0.96,-0.02,-0.05,-0.28,0.24,0.03,1.05
0.96,-0.01,-0.04,-0.28,0.23,0.03,1.06
0.96,-0.01,-0.04,-0.28,0.22,0.03,1.06
0.96,-0.01,-0.04,-0.28,0.21,0.02,1.07
0.96,-0.01,-0.03,-0.28,0.2,0.02,1.07
0.96,-0.0,-0.03,-0.28,0.21,0.02,1.07
0.96,-0.0,-0.03,-0.28,0.22,0.03,1.05
0.96,-0.0,-0.03,-0.28,0.23,0.04,1.03
0.96,0.0,-0.04,-0.28,0.23,0.05,0.99
0.96,0.0,-0.04,-0.27,0.23,0.06,0.95
0.96,0.01,-0.04,-0.27,0.23,0.06,0.92
0.96,0.01,-0.04,-0.27,0.22,0.06,0.91
0.96,0.01,-0.03,-0.27,0.21,0.06,0.92
0.96,0.01,-0.03,-0.27,0.19,0.06,0.94
0.96,0.01,-0.03,-0.27,0.17,0.07,0.97
0.96,0.01,-0.02,-0.27,0.15,0.07,1.0
0.96,0.01,-0.02,-0.27,0.12,0.07,1.01
0.96,0.01,-0.02,-0.27,0.11,0.06,1.01
0.96,0.01,-0.02,-0.27,0.1,0.06,0.98
0.96,0.01,-0.02,-0.27,0.1,0.05,0.94
0.96,0.01,-0.02,-0.27,0.11,0.05,0.9
0.96,0.01,-0.02,-0.27,0.11,0.04,0.88
0.96,0.02,-0.02,-0.27,0.1,0.05,0.89
0.96,0.02,-0.01,-0.27,0.07,0.05,0.91
0.96,0.02,-0.01,-0.27,0.04,0.05,0.94
0.96,0.02,-0.01,-0.27,0.01,0.05,0.97
0.96,0.01,-0.0,-0.27,-0.02,0.04,0.99
0.96,0.01,-0.0,-0.27,-0.04,0.03,1.0
0.96,0.01,-0.0,-0.27,-0.05,0.03,0.99
0.96,0.01,-0.0,-0.27,-0.05,0.02,0.99
0.96,0.01,-0.0,-0.27,-0.05,0.01,0.99
0.96,0.01,-0.0,-0.27,-0.07,0.02,0.99
0.96,0.01,0.0,-0.27,-0.09,0.03,1.0
0.96,0.01,0.0,-0.27,-0.12,0.02,1.02
0.96,0.01,0.0,-0.27,-0.17,0.02,1.05
0.96,0.01,0.0,-0.27,-0.18,0.03,1.07
0.96,0.01,-0.0,-0.27,-0.18,0.02,1.08
0.96,0.01,-0.0,-0.26,-0.18,0.02,1.06
0.97,0.01,-0.01,-0.26,-0.17,0.01,1.05
0.97,0.01,-0.01,-0.26,-0.15,-0.01,1.02
0.97,0.01,-0.01,-0.25,-0.12,-0.01,1.0
0.97,0.01,-0.01,-0.25,-0.11,-0.01,0.98
0.97,0.02,-0.01,-0.25,-0.1,-0.0,0.97
0.97,0.02,-0.01,-0.25,-0.11,0.0,0.95
0.97,0.01,-0.01,-0.25,-0.12,0.01,0.93
0.97,0.01,-0.01,-0.25,-0.13,0.02,0.92
0.97,0.01,-0.01,-0.25,-0.14,0.03,0.92
0.97,0.01,-0.01,-0.24,-0.13,0.02,0.93
0.97,0.01,-0.02,-0.24,-0.11,0.01,0.95
0.97,0.01,-0.02,-0.24,-0.09,0.01,0.96
0.97,0.01,-0.01,-0.24,-0.07,0.01,0.97
0.97,0.01,-0.01,-0.23,-0.06,0.02,0.96
0.97,0.01,-0.01,-0.23,-0.06,0.02,0.95
0.97,0.0,-0.01,-0.23,-0.07,0.01,0.95
0.97,0.0,-0.0,-0.23,-0.06,0.0,0.95
0.97,-0.0,-0.0,-0.23,-0.05,0.01,0.96
0.97,-0.0,-0.0,-0.23,-0.05,0.01,0.98
0.97,-0.0,-0.0,-0.23,-0.05,0.01,0.99
0.97,-0.0,-0.0,-0.23,-0.05,0.02,1.0
0.97,-0.0,-0.0,-0.22,-0.05,0.01,1.01
0.97,-0.0,-0.0,-0.22,-0.05,0.0,1.01
0.97,-0.0,-0.0,-0.22,-0.04,-0.0,1.01
0.97,-0.0,-0.0,-0.22,-0.03,-0.0,1.01
0.97,-0.0,-0.01,-0.22,-0.02,-0.0,1.02
0.97,-0.01,-0.01,-0.22,-0.02,0.0,1.02
0.97,-0.01,-0.01,-0.22,-0.02,0.0,1.02
0.98,-0.01,-0.01,-0.22,-0.02,-0.0,1.03
0.98,-0.01,-0.01,-0.22,-0.02,-0.0,1.04
0.98,-0.01,-0.01,-0.22,-0.05,-0.01,1.04
0.98,-0.01,-0.01,-0.22,-0.07,-0.0,1.04
0.98,-0.01,-0.01,-0.22,-0.08,-0.01,1.05
0.98,-0.01,-0.01,-0.22,-0.07,-0.0,1.05
0.98,-0.01,-0.01,-0.22,-0.06,-0.0,1.03
0.98,-0.01,-0.01,-0.22,-0.06,0.01,1.01
0.98,-0.01,-0.01,-0.22,-0.05,0.01,0.98
0.98,-0.01,-0.02,-0.22,-0.04,0.01,0.97
0.98,-0.01,-0.02,-0.22,-0.03,0.0,0.96
0.98,-0.01,-0.02,-0.22,-0.02,0.0,0.97
0.98,-0.01,-0.02,-0.22,-0.01,-0.0,0.98
